ts,Label,Site,Customer
2023-05-25 11:17:57,wake up in lab,R1,P36
2023-05-25 11:21:27,sitting in lab,R1,P37
2023-05-25 11:23:55,discussing with aritra,R1,P36
2023-05-25 11:31:16,Swadhan came to lab,R1,P36
2023-05-25 11:43:56,going outside of lab,R1,P38
2023-05-25 11:56:55,return to lab,R1,P36
2023-05-25 12:00:22,return to lab,R1,P38
2023-05-25 12:02:11,both AC on,R1,P36
2023-05-25 12:56:11,going out for room,R1,P38
2023-05-25 12:59:40,going outside for room,R1,P36
2023-05-25 13:02:21,normal outside,R1,P36
2023-05-25 13:17:30,going out for tea,R1,P37
2023-05-25 13:22:45,return to lab,R1,P37
2023-05-25 14:01:07,sadhon da going out of lab,R1,P37
2023-05-25 15:16:47,going out for lunch,R1,P37
2023-05-25 16:53:02,return to lab,R1,P36
2023-05-25 16:53:14,cloudy weather outside,R1,P36
2023-05-25 17:24:15,fan off,R1,P36
2023-05-25 17:24:20,back to lab,R1,P38
2023-05-25 17:52:47,going out for tea,R1,P38
2023-05-25 17:52:52,going out for tea,R1,P36
2023-05-25 18:40:23,return to lab,R1,P38
2023-05-25 18:40:26,return to lab,R1,P37
2023-05-25 18:40:35,return to lab,R1,P36
2023-05-25 18:59:09,going out from lab,R1,P36
2023-05-25 19:27:19,going out for tea,R1,P37
2023-05-25 20:17:54,AC of fan is running,H3,P7
2023-05-25 20:19:07,closing bedroom turning of the fan,H3,P7
2023-05-25 20:21:55,existing hall,H3,P8
2023-05-25 22:05:31,Enter room. Turned on fan ,H3,P7
2023-05-25 22:08:05,turned on mosquito repellent machine,H3,P7
2023-05-25 22:28:42,return to lab,R1,P37
2023-05-25 22:28:54,return to lab,R1,P36
2023-05-25 22:29:01,raining outside,R1,P36
2023-05-25 22:37:08,fan is on,R1,P36
2023-05-25 22:37:10,fan is on,R1,P36
2023-05-25 22:39:57,watching movie in Debasree desk,R1,P36
2023-05-25 22:50:42,return to the lab,R1,P39
2023-05-25 23:32:58,going out for home,R1,P37
2023-05-25 23:34:28,going out for room,R1,P36
2023-05-26 00:49:18,AC off,R1,P39
2023-05-26 09:11:54,entered room. turn on the fan,H3,P7
2023-05-26 09:12:34,making two cups of tea,H3,P7
2023-05-26 09:13:48,turn off the mosquito repellent,H3,P7
2023-05-26 09:18:23,cooking potato sandwiches,H3,P7
2023-05-26 09:22:13,exiting room turn off the fan,H3,P7
2023-05-26 09:23:13,turn off the sandwich maker,H3,P7
2023-05-26 09:33:05,enter room. turn on fan.,H3,P7
2023-05-26 10:16:08,return to lab,R1,P37
2023-05-26 10:16:08,return to lab,R1,P37
2023-05-26 10:16:27,window AC on,R1,P37
2023-05-26 10:21:45,going out for tea,R1,P37
2023-05-26 10:52:51,return to lab,R1,P37
2023-05-26 11:08:47,Return to lab,R1,P39
2023-05-26 11:09:49,turned off the fans. leaving house l.,H3,P7
2023-05-26 12:06:48,enter room. turn on the fan,H3,P7
2023-05-26 12:06:50,enter room. turn on the fan.,H3,P7
2023-05-26 12:06:51,enter room. turn on the fan.,H3,P7
2023-05-26 12:06:54,enter room. turn on the fan.,H3,P7
2023-05-26 12:07:02,enter room. turn on the fan.,H3,P7
2023-05-26 12:07:27,enter room. turn on the fan.,H3,P7
2023-05-26 13:09:33,Cooking aalo parotha,H3,P7
2023-05-26 13:16:34,going out for tea,R1,P37
2023-05-26 13:44:22,opened window,H3,P7
2023-05-26 14:16:47,exit room. turned off fan.,H3,P7
2023-05-26 14:17:05,entered room. turned on AC.,H3,P7
2023-05-26 14:26:12,return to lab,R1,P37
2023-05-26 14:39:17,turn off the AC.,H3,P7
2023-05-26 15:21:15,turned on the AC,H3,P8
2023-05-26 15:33:28,turn off the AC,H3,P7
2023-05-26 16:01:58,returning to lab,R1,P36
2023-05-26 16:02:26,fan is on,R1,P36
2023-05-26 16:02:27,fan is on,R1,P36
2023-05-26 16:02:45,both AC on,R1,P36
2023-05-26 16:04:30,sadhan da back to lab,R1,P37
2023-05-26 16:22:41,entered room. turned on fan.,H3,P7
2023-05-26 16:24:22,going for toilet,R1,P37
2023-05-26 16:27:06,return to lab,R1,P37
2023-05-26 16:39:41,raining outside,H3,P7
2023-05-26 16:39:48,window open,H3,P7
2023-05-26 16:50:13,going out of luck,R1,P37
2023-05-26 16:50:53,going out from lab,R1,P36
2023-05-26 17:37:45,return to lab,R1,P37
2023-05-26 17:37:48,return to lab,R1,P38
2023-05-26 17:37:57,return to lab,R1,P36
2023-05-26 17:43:38,going out from lab,R1,P37
2023-05-26 17:43:40,going out from lab,R1,P36
2023-05-26 17:43:45,going out of lab,R1,P38
2023-05-26 17:46:53,nobody in lab,R1,P36
2023-05-26 18:03:14,making tea,H7,P16
2023-05-26 18:07:44,tea complete,H7,P16
2023-05-26 18:24:01,frying papad,H7,P16
2023-05-26 18:29:32,frying complete exhaust was on,H7,P16
2023-05-26 18:36:29,return to lab,R1,P37
2023-05-26 18:36:49,return to lab,R1,P36
2023-05-26 18:48:11,discussion with foss,R1,P37
2023-05-26 18:48:38,return to lab,R1,P39
2023-05-26 19:13:35,entered house. Turned on the fan.,H3,P7
2023-05-26 19:16:44,sleeping,R1,P36
2023-05-26 19:19:57,Argha return to lab,R1,P36
2023-05-26 19:32:54,Turning on the AC,H3,P8
2023-05-26 19:58:59,turning off AC,H3,P8
2023-05-26 19:58:59,turning off AC,H3,P8
2023-05-26 19:59:03,turning off AC,H3,P8
2023-05-26 19:59:06,turning off AC,H3,P8
2023-05-26 20:37:07,wake up,R1,P36
2023-05-26 20:37:33,Salma di going out from lab,R1,P36
2023-05-26 21:13:00,Argha going out from lab,R1,P36
2023-05-26 21:17:40,cooking dal,H3,P8
2023-05-26 21:24:05,Argha return to lab,R1,P36
2023-05-26 21:30:00,Aritra-Argha(desk) watching match,R1,P36
2023-05-26 21:30:35,Going to my desk(from sleep),R1,P36
2023-05-26 21:35:19,cooking Dal completed,H3,P8
2023-05-26 21:54:29,turned on the AC,H3,P8
2023-05-26 21:55:40,going out for home,R1,P37
2023-05-26 22:08:59,return to lab,R1,P39
2023-05-26 22:09:06,window AC off,R1,P39
2023-05-26 22:09:56,finished dinner,H3,P8
2023-05-26 22:15:40,Washing Dishes. Cleaning Kitchen ,H3,P7
2023-05-26 22:36:54,turning of the AC,H3,P8
2023-05-26 22:48:35,turned on mosquito repellent ,H3,P7
2023-05-27 00:40:44,going to room,R1,P38
2023-05-27 00:40:57,going out from lab,R1,P36
2023-05-27 01:08:27,window AC of,R1,P39
2023-05-27 01:08:38,going out for room,R1,P39
2023-05-27 01:22:22,return to lab,R1,P36
2023-05-27 01:22:40,window AC on,R1,P36
2023-05-27 07:06:02,window AC off,R1,P36
2023-05-27 07:06:41,going out from lab,R1,P36
2023-05-27 09:11:26,turned off mosquito repellent ,H3,P7
2023-05-27 09:11:39,entered room. turned on fan.,H3,P7
2023-05-27 09:11:48,boiling milk,H3,P7
2023-05-27 10:36:18,return to lab,R1,P37
2023-05-27 10:36:25,fan on,R1,P37
2023-05-27 10:36:41,AC on,R1,P37
2023-05-27 10:37:16,exiting dining room. turned off fan,H3,P7
2023-05-27 10:37:16,exiting dining room. turned off fan,H3,P7
2023-05-27 10:59:05,boiling rice from 10:30 to 11 a.m.,H7,P16
2023-05-27 11:03:13,frying pointed gourd with exhaust on ,H7,P16
2023-05-27 11:03:15,frying pointed gourd with exhaust on ,H7,P16
2023-05-27 11:30:05,preparing cheese sandwiches in dining room,H3,P7
2023-05-27 11:36:06,eating cheese sandwiches in dining hall,H3,P7
2023-05-27 11:37:01,frying onion,H7,P16
2023-05-27 11:55:40,frying fish with kadai lid on,H7,P16
2023-05-27 12:32:36,Cleaning house. Spraying red hit.,H3,P7
2023-05-27 13:22:21,exiting rooms. Windows open. Fans on,H3,P7
2023-05-27 13:58:33,Split AC off Window AC on,R1,P37
2023-05-27 14:00:42,going out for lunch,R1,P37
2023-05-27 14:19:56,coming back to lab,R1,P38
2023-05-27 14:20:07,switched of the fan,R1,P38
2023-05-27 14:33:22,return to lab,R1,P37
2023-05-27 14:39:34,enter room windows closed,H3,P7
2023-05-27 14:59:53,leaving lab,R1,P38
