Site,User ID,Gender,Age
"H1,H8",P1,F,49
H1,P2,M,51
H2,P3,M,37
H2,P4,F,34
H2,P5,F,3
H2,P6,F,70
H3,P7,M,26
H3,P8,F,26
H4,P9,M,45
H4,P10,F,84
H5,P11,F,50
H5,P12,M,17
H6,P13,F,38
H6,P14,M,40
H7,P15,M,37
H7,P16,F,35
H8,P17,M,80
H8,P18,F,70
"H9,H12,H13",P19,M,35
"H9,H12,H13",P20,F,31
H10,P21,F,14
H10,P22,F,46
H10,P23,M,44
H10,P24,M,49
H11,P25,M,84
H11,P26,F,3
H11,P27,M,34
A1,P28,F,20
A2,P29,M,25
A3,P30,M,23
A4,P31,F,27
A5,P32,F,30
A6,P33,M,27
A7,P34,M,21
A8,P35,M,23
R1,P36,M,25
R1,P37,M,23
R1,P38,M,26
R1,P39,F,30
R1,P40,M,49
R1,P41,M,27
R1,P42,M,21
R2,P43,M,23
R3,P44,M,28
R5,P45,M,26
F1,P46,F,55
